year,group,index,name,type,performers,note,
1989,第三组,11,电影打岔,特别节目,,,
1989,第四组,1,《歌声与微笑》,歌曲,银河少年电视艺术团,,
1989,第四组,2,《你、我、他》,歌曲,关牧村,,
1989,第四组,3,《胡椒面》,小品,陈佩斯 朱时茂,,
1989,第四组,4,《刮春风》,歌曲,彭丽媛,,
1989,第四组,5,《捕风捉影》,相声,姜昆 唐杰忠,,
1989,第四组,6,《我的祖国》,歌曲,郭兰英,,
1989,第四组,7,零点钟声,倒计时,,,
1989,第四组,8,《今宵多美好》,歌曲,叶矛 廖莎 路浩 曲比阿乌 彭书民 杨二车娜姆,,
1989,第四组,9,《活字典》,综合节目,杨术,,
1989,第四组,10,《太挤了》,相声,笑林 李国盛,,
1989,第四组,11,《中国风》,民族舞蹈,中央民族学院音乐舞蹈系,,
1989,第四组,12,《走向未来》,歌曲,,,
1990,第一组,1,前7年春节联欢晚会片头,开场,,,
1990,第一组,2,《万紫千红》,会歌,杭天琪 屠洪刚,,
1990,第一组,2,主持人介绍擂台赛队长和裁判,主持环节,,,
1990,第一组,3,《马字令》,大联唱,杨学进 彭节民 张暴默 刘伟 唐杰忠 刘秉义 刘斌 马玉涛 胡松华 苏红 罗宁娜 陈佩斯 牛群 赵莉 姜昆,,
1990,第一组,4,《闹新春》,独唱,李丹阳,,
1990,第一组,4,《1234567》,独唱,韦唯,,
1990,第一组,5,《学唱歌》,相声,姜昆 唐杰忠,,
1990,第一组,6,《小猴唱歌》,提线木偶,黄奕缺 李扬,,
1990,第一组,7,三个队献对联,特别环节,,,
1990,第一组,8,《精彩一分钟》,综合节目,田连元 冯巩等,,
1990,第一组,9,《背起那小妹妹》,舞蹈小品,贾小平 纪广等,,
1990,第二组,1,《自己的天空》《我是风》,歌曲,文章（台湾）,,
1990,第二组,2,《无所适从》,相声,牛群 冯巩,,
1990,第二组,3,《大雁的故乡》,独唱,乌云塔娜,,
1990,第二组,3,《牧野情歌》,独唱,李玲玉  ,,
1990,第二组,3,《边塞风》,独唱,范琳琳,,
1990,第二组,4,《相亲》,小品,赵本山 黄晓娟,,
1990,第二组,5,《京剧迪斯科》,舞蹈,银河少年电视艺术团,,
1990,第二组,6,《献出心中诚与爱》《我们爱这个错》,歌曲,张明敏,,
1990,第二组,7,《三顾茅庐》,相声,刘伟 刘惠,,
1990,第三组,1,《好大一棵树》,独唱,张晓梅,,
1990,第三组,1,《小背篓》,独唱,宋祖英,,
1990,第三组,1,《走在大街上》,独唱,鞠敬伟,,
1990,第三组,2,《拷红》,戏曲小品,郑岩 小香玉 李玲玉 雷英 吴琼,,
1990,第三组,3,《打麻将》,小品,岳红 巩汉林,,
1990,第三组,4,《瞧这些婆姨们》,舞蹈,山西省歌舞剧院,,
1990,第三组,5,《二重唱》,相声,戴志诚 郑健,,
1990,第三组,6,《望春》,独唱,苏红 杭宏,,
1990,第三组,6,《边关情似火》,独唱,杨洪基,,
1990,第三组,6,《黑头发飘起来》,独唱,杭天琪,,
1990,第四组,1,《小丑》,歌曲,凌峰（台湾）,,
1990,第四组,2,《难兄难弟》,小品,严顺开 黄宏,,
1990,第四组,3,画家赠画,特别环节,,,
1990,第四组,4,《健美变奏曲》,艺术体操,北京体育学院,,
1990,第四组,5,《举重》,哑剧小品,王景愚,,
1990,第四组,6,《当我们年轻的时候》,独唱,翟春萍,,
1990,第四组,6,《西北汉子的红腰带》,独唱,张伟进,,
1990,第四组,7,《主角与配角》,小品,陈佩斯 朱时茂,,
1990,第四组,8,《幸福是什么》,独唱,崔海堂,,
1990,第四组,8,《前门情思——大碗茶》,独唱,李谷一,,
1990,第四组,9,《定军山》,京剧清唱,谭元寿,,
1990,第四组,10,零点钟声,倒计时,,,
1990,第四组,11,《送给你》,歌曲,魏金栋 刘玉婉,,
1990,第四组,12,《山丹丹花开红艳艳》,歌曲,远征,,
1990,第四组,13,裁判宣布评语,特别环节,,,
1990,第四组,14,《难忘今宵》,结束曲,李谷一 魏洪 张涓 黄应杰 林芳,,
1991,第一组,1,《欢庆大歌舞》《百子闹春》,开场歌舞,空军蓝天幼儿艺术团,,
1991,第一组,1,《安徽花鼓灯》,开场歌舞,中央歌舞团,,
1991,第一组,1,《吴川飘色》,开场歌舞,广东吴川县表演队,,
1991,第一组,1,《三星贺喜》,开场歌舞,北京戏曲学校,,
1991,第一组,2,《祝酒请茶大拜年》,歌舞,达珍 尼瓦杰 朝鲁姬荣 曲比阿乌 方明 方荣 曹世华,,
1991,第一组,3,《花木兰》选段,豫剧,徐佳,,
1991,第一组,3,《打猪草》选段,黄梅戏,孙丽莎 潘健,,
1991,第一组,3,《铡美案》,京剧,王博文,,
1991,第一组,3,《双推磨》,锡剧,岳佳 陈鹭,,
